[2018-12-04 07:31:46] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-04 10:09:12] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-04 10:11:25] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-04 10:11:44] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-04 10:28:02] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-04 10:29:20] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-04 10:42:35] erhan.ERROR: ошибка: Call to undefined function app\controllers\getFileName(), файл: D:\WebWorksPHP\hmdoll.ru\app\controllers\SlavkoController.php, строка: 138 [] []
[2018-12-04 10:44:28] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-04 10:47:34] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-04 14:47:20] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-05 15:53:29] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-05 16:03:27] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-05 16:03:34] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-05 16:07:29] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-05 16:07:29] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-05 16:07:38] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-06 01:01:27] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-06 01:05:32] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-06 01:30:59] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-06 01:31:13] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-06 01:51:08] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-06 01:53:37] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-06 02:48:37] erhan.ERROR: ошибка: Function name must be a string, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 11 [] []
